Time,M_CompDis,P_CompDis,D_CompDis,T_CompDis,H_CompDis,P_OgcOut,D_OgcOut,T_OgcOut,H_OgcOut,P_EvapExvIn,D_EvapExvIn,T_EvapExvIn,H_EvapExvIn,P_EvapExvOut,D_EvapExvOut,T_EvapExvOut,H_EvapExvOut,P_EvapOut,D_EvapOut,T_EvapOut,H_EvapOut,P_CompSuc,D_CompSuc,T_CompSuc,H_CompSuc,CompSpeed,EvapExvOpening,T_Amb,Vel_Ogc,T_Incar,RH_Incar,Vol_Incar,Optimal_HP,Wcomp,Qc,COP,
0,109.752,83.5087,327.536,40,386.428,83.5087,327.536,40,386.428,83.5087,327.536,40,386.428,83.5087,327.536,40,386.428,83.5087,327.536,40,386.428,83.5087,327.536,40,386.428,1000,0.0630769,43,2.5,40,40,501.57,118.78,-1,-2.20663e-12,2.20663e-12,
1,87.1668,89.2557,331.492,44.8026,391.929,86.5381,339.575,41.9866,385.509,85.8278,332.955,41.7331,387.188,83.1568,325.939,39.7717,386.607,82.5223,324.606,39.278,386.328,82.4367,314.661,39.738,390.16,1200,0.06,43,2.5,40,40,501.57,118.78,99.0644,12.7376,0.128579,
2,98.2066,92.1012,323.206,47.9752,398.828,88.4217,357.149,42.6652,381.189,87.3661,336.353,42.8656,387.735,82.8246,323.347,39.6108,387.201,81.8985,320.089,38.9497,387.301,81.782,302.049,39.92,394.528,1400,0.0569231,43,2.5,40,40,501.57,118.78,172.77,25.8924,0.149866,
3,110.242,94.3535,319.432,50.3939,403.246,89.8693,377.203,42.9084,375.723,88.5608,342.746,43.5145,386.699,82.3429,321.832,39.259,387.184,81.2157,313.669,38.6676,388.971,81.0688,294.915,39.7299,396.633,1600,0.0538462,43,2.5,40,40,501.57,118.78,251.086,42.6633,0.169915,
4,122.644,96.4056,319.045,52.3438,405.96,91.1545,398.579,43.0196,369.921,89.6381,355.882,43.6954,383.027,81.6593,324.949,38.4981,385.107,80.3649,305.718,38.3219,391.084,80.1864,289.911,39.2188,397.609,1800,0.0507692,43,2.5,40,40,501.57,118.78,340.556,67.1723,0.197243,
5,134.571,98.4968,319.308,54.2684,408.42,92.4756,421.793,43.1155,363.848,90.7803,375.684,43.651,377.221,80.8055,334.152,37.3724,380.578,79.3492,296.249,37.9251,393.678,79.1379,284.609,38.5539,398.495,2000,0.0476923,43,2.5,40,40,501.57,118.78,445.578,104.445,0.234403,
6,145.586,100.757,319.114,56.4113,411.286,93.9853,447.259,43.2532,357.53,92.1346,400.592,43.6254,370.249,79.8284,348.435,36.1085,374.297,78.2087,285.455,37.5227,396.781,77.9635,278.277,37.8306,399.681,2200,0.0446154,43,2.5,40,40,501.57,118.78,568.654,159.012,0.279629,
7,155.604,103.261,318.477,58.8569,414.655,95.7993,474.602,43.4624,351.151,93.8177,429.272,43.7297,362.798,78.7552,366.159,34.8829,367.12,76.9772,273.794,37.1441,400.302,76.6972,271.055,37.0761,401.172,2400,0.0415385,43,2.5,40,40,501.57,118.78,711.476,233.362,0.327997,
8,164.672,106.095,317.776,61.6492,418.459,98.0308,503.234,43.7528,344.885,95.9462,460.782,43.986,355.257,77.5921,386.029,33.7593,359.625,75.6709,261.824,36.7897,404.061,75.3557,263.253,36.287,402.867,2600,0.0384615,43,2.5,40,40,501.57,118.78,876.427,327.523,0.373703,
9,172.83,109.391,317.405,64.8598,422.663,100.828,532.832,44.1211,338.792,98.6704,494.263,44.3888,347.878,76.3369,407.078,32.7348,352.161,74.2938,250.045,36.4336,407.847,73.9431,255.084,35.4529,404.688,2800,0.0353846,43,2.5,40,40,501.57,118.78,1067.51,439.479,0.411685,
10,179.61,113.337,317.709,68.6032,427.302,104.407,563.275,44.5578,332.862,102.205,528.853,44.9306,340.845,74.9861,428.479,31.7833,344.953,72.8454,238.868,36.027,411.438,72.4606,246.661,34.5669,406.592,2992.64,0.0323077,43,2.5,40,40,501.57,118.78,1287.36,565.856,0.439547,
11,174.426,116.894,316.953,72.1869,432.009,108.414,592.557,44.8815,327.226,106.277,562.675,45.4013,334.211,73.6866,446.406,30.9664,338.164,71.5061,229.294,35.6421,414.538,71.1272,238.905,33.8009,408.469,3000,0.0292308,43,2.5,40,40,501.57,118.78,1417,696.409,0.491468,
12,169.744,120.383,316.891,75.5959,436.262,112.469,617.692,45.0781,322.417,110.476,593.697,45.6452,328.096,72.4707,455.032,30.2293,331.817,70.3487,222.525,35.1309,416.461,69.9779,232.491,33.1186,409.997,3000,0.0261538,43,2.5,40,40,501.57,118.78,1532.47,817.255,0.533293,
13,165.375,124.457,317.99,79.3297,440.556,117.117,640.179,45.3166,318.316,115.3,621.849,45.8654,322.726,71.2374,463.423,29.4735,326.121,69.2178,219.018,34.1113,416.497,68.8569,226.507,32.4262,411.384,3000,0.0230769,43,2.5,40,40,501.57,118.78,1657.37,936.901,0.565294,
14,160.721,129.643,320.112,83.8788,445.538,122.894,661.82,45.6488,314.621,121.27,647.456,46.2104,318.196,69.9169,468.902,28.6516,321.205,68.0011,220.587,32.1108,413.277,67.6536,220.133,31.6867,412.898,3000,0.02,43,2.5,40,40,501.57,118.78,1804.85,1052.61,0.583212,
15,155.434,136.19,322.929,89.5012,451.612,129.759,683.208,45.9573,311.05,128.136,670.574,46.579,314.316,68.5641,471.474,27.795,317.04,66.617,229.752,28.9828,405.505,66.2841,212.891,30.8614,414.685,3000,0.0188302,43,2.5,40,40,501.57,118.78,1978.16,1156.16,0.58446,
16,150.321,137.78,318.713,92.2093,456.054,130.927,696.976,45.0162,307.141,128.869,688.23,45.2385,309.07,67.7703,484.737,27.2853,312.266,65.3831,244.888,26.0647,395.525,65.0561,205.889,30.238,416.69,3000,0.0219071,43,2.5,40,40,501.57,118.78,2028.91,1225.1,0.603818,
17,146.942,133.672,309.183,90.8218,457.02,126.533,698.646,43.6118,304.771,124.163,702.01,42.6349,302.718,67.2285,509.473,26.9344,306.264,64.5566,261.208,25.1666,382.401,64.2247,201.26,29.8195,418.032,3000,0.0249841,43,2.5,40,40,501.57,118.78,1946.54,1268.21,0.651522,
18,144.73,127.142,298.604,87.0703,455.498,119.812,689.44,42.4779,304.795,117.233,712.546,39.7734,296.574,66.7264,540.002,26.6069,299.946,63.8341,281.192,24.6779,367.812,63.4997,198.231,29.2643,418.56,3000,0.028061,43,2.5,40,40,501.57,118.78,1808.04,1304.99,0.721771,
19,142.906,121.853,290.364,83.7148,453.849,115.058,675.345,42.1567,306.958,112.863,721.169,37.8396,292.144,65.8269,560.925,26.0148,294.696,63.1168,299.678,24.1879,355.8,62.785,195.733,28.6137,418.757,3000,0.02636,43,2.5,40,40,501.57,118.78,1696.52,1350.61,0.796108,
20,140.809,120.614,287.342,83.2171,454.137,114.402,666.628,42.5859,309.239,112.597,728.255,37.1423,289.838,64.7209,565.927,25.2772,291.449,62.3224,309.3,23.6398,348.705,61.9966,192.86,27.9144,419.057,3000,0.0232831,43,2.5,40,40,501.57,118.78,1680.22,1406.97,0.837372,
21,137.723,121.766,285.932,84.9362,456.61,116.074,665.032,43.2317,310.486,114.572,733.898,37.1331,288.827,63.5818,560.075,24.506,289.653,61.425,306.978,23.0135,346.808,61.1071,188.634,27.3381,420.094,3000,0.0202062,43,2.5,40,40,501.57,118.78,1720.17,1490.96,0.866756,
22,134.176,124.089,284.94,87.8834,460.416,118.477,668.728,43.7167,310.492,116.936,738.173,37.3231,288.363,62.6454,550.87,23.8633,288.79,60.5095,297.604,22.3667,348.073,60.1975,183.776,26.8918,421.586,3000,0.0200104,43,2.5,40,40,501.57,118.78,1785.01,1636.35,0.916719,
23,130.774,124.093,280.572,89.3272,463.405,118.522,670.746,43.5772,309.906,116.937,740.246,37.1207,287.697,61.9882,544.96,23.4074,288.109,59.7209,286.659,21.8032,350.703,59.4124,179.116,26.6564,423.281,3000,0.0202779,43,2.5,40,40,501.57,118.78,1794.79,1777.32,0.99027,
24,127.868,123.662,276.264,90.3074,465.824,118.286,671.315,43.4602,309.627,116.763,742.023,36.9027,287.06,61.2967,538.383,22.9233,287.444,59.0207,280.782,21.2976,351.266,58.7153,175.136,26.4432,424.727,3000,0.0197371,43,2.5,40,40,501.57,118.78,1793.75,1918.87,1.06975,
25,125.374,123.337,272.709,91.1922,467.91,118.144,671.323,43.4152,309.56,116.685,743.712,36.7165,286.487,60.6274,531.803,22.4504,286.833,58.3835,275.968,20.8333,351.546,58.0808,171.72,26.2187,425.927,3000,0.0191522,43,2.5,40,40,501.57,118.78,1794.23,2062.36,1.14944,
26,123.166,123.129,269.706,92.0531,469.805,118.093,671.27,43.4035,309.553,116.69,745.312,36.5585,285.972,60.0045,525.562,22.0065,286.283,57.7984,268.466,20.4034,353.516,57.499,168.696,26.0019,426.976,3000,0.0186288,43,2.5,40,40,501.57,118.78,1796.55,2194.44,1.22148,
27,121.182,122.995,267.086,92.8913,471.559,118.096,671.342,43.399,309.533,116.74,746.815,36.4203,285.504,59.4331,519.791,21.596,285.787,57.2605,259.534,20.005,356.641,56.9646,165.978,25.8011,427.918,3000,0.0181714,43,2.5,40,40,501.57,118.78,1799.82,2314.93,1.2862,
28,119.393,122.906,264.764,93.6927,473.181,118.126,671.561,43.3916,309.481,116.811,748.221,36.2957,285.074,58.9109,514.516,21.2179,285.334,56.7666,250.643,19.6365,360.172,56.474,163.528,25.6164,428.768,3000,0.01777,43,2.5,40,40,501.57,118.78,1803.41,2424.53,1.34441,
29,117.782,122.841,262.694,94.4464,474.672,118.168,671.887,43.3798,309.402,116.888,749.536,36.1811,284.675,58.4335,509.717,20.8699,284.917,56.3134,242.456,19.2962,363.696,56.0239,161.321,25.4456,429.534,3000,0.0174158,43,2.5,40,40,501.57,118.78,1806.99,2524.21,1.39691,
30,116.329,122.793,260.845,95.1474,476.035,118.214,672.268,43.3648,309.308,116.964,750.77,36.0737,284.301,57.9968,505.373,20.5495,284.529,55.8979,235.122,18.9822,367.053,55.6112,159.331,25.2864,430.222,3000,0.0171022,43,2.5,40,40,501.57,118.78,1810.4,2614.92,1.44439,
31,115.02,122.754,259.188,95.7951,477.278,118.259,672.667,43.3483,309.208,117.037,751.935,35.9717,283.947,57.5971,501.456,20.2546,284.165,55.5168,228.602,18.6926,370.197,55.2326,157.538,25.1374,430.838,3000,0.0168237,43,2.5,40,40,501.57,118.78,1813.57,2697.54,1.48742,
32,113.837,122.721,257.7,96.3914,478.41,118.302,673.057,43.3315,309.11,117.103,753.041,35.8737,283.61,57.231,497.942,19.983,283.82,55.1671,222.814,18.4256,373.119,54.8852,155.918,24.9979,431.391,3000,0.0165757,43,2.5,40,40,501.57,118.78,1816.48,2772.87,1.52651,
33,112.767,122.692,256.36,96.939,479.442,118.34,673.425,43.3151,309.017,117.163,754.094,35.7791,283.287,56.8955,494.802,19.7329,283.49,54.8462,217.668,18.1792,375.822,54.5663,154.452,24.867,431.889,3000,0.0163542,43,2.5,40,40,501.57,118.78,1819.12,2841.61,1.56208,
34,111.797,122.666,255.15,97.4416,480.383,118.375,673.766,43.2997,308.93,117.217,755.098,35.6875,282.978,56.5878,492.003,19.5025,283.174,54.5515,213.085,17.952,378.316,54.2735,153.124,24.7444,432.336,3000,0.0161557,43,2.5,40,40,501.57,118.78,1821.52,2904.41,1.5945,
35,110.917,122.642,254.054,97.9027,481.24,118.406,674.078,43.2852,308.85,117.266,756.054,35.5991,282.681,56.3053,489.51,19.2901,282.872,54.2807,208.997,17.7424,380.612,54.0043,151.918,24.6295,432.739,3000,0.0159771,43,2.5,40,40,501.57,118.78,1823.68,2961.84,1.62411,
36,110.116,122.62,253.061,98.3257,482.024,118.434,674.36,43.2719,308.777,117.309,756.961,35.5142,282.398,56.046,487.288,19.0943,282.582,54.0316,205.344,17.5489,382.722,53.7568,150.822,24.5218,433.104,3000,0.0158162,43,2.5,40,40,501.57,118.78,1825.62,3014.41,1.65117,
37,109.387,122.6,252.158,98.7139,482.739,118.458,674.615,43.2596,308.711,117.347,757.819,35.433,282.13,55.8076,485.304,18.9138,282.306,53.8025,202.072,17.3702,384.658,53.529,149.824,24.4211,433.433,3000,0.0156707,43,2.5,40,40,501.57,118.78,1827.38,3062.58,1.67594,
38,108.723,122.58,251.337,99.0704,483.394,118.48,674.846,43.2484,308.651,117.381,758.627,35.3557,281.876,55.5884,483.526,18.7472,282.044,53.5916,199.136,17.2052,386.433,53.3194,148.913,24.3269,433.732,3000,0.0155389,43,2.5,40,40,501.57,118.78,1828.97,3106.74,1.69863,
39,108.116,122.562,250.588,99.3978,483.993,118.499,675.053,43.2382,308.597,117.412,759.385,35.2825,281.636,55.3867,481.928,18.5934,281.797,53.3974,196.496,17.0528,388.06,53.1262,148.082,24.2388,434.003,3000,0.0154193,43,2.5,40,40,501.57,118.78,1830.4,3147.27,1.71944,
